Comment,Sentiment,Cleaned_Comment,Predicted
“oh my god guys there’s an octopus eating a crab” then watches it like a action movie,negative,oh my god guys theres an octopus eating a crab then watches it like a action movie,positive
my daughter will be starting her 8th grade chem section next week i told her that i used your videos to get me through my chemistry for health sciences course in college yeah i started late which was a brutal combination of gen bio and organic chem classes youre getting your next generation thanks for the help,positive,my daughter will be starting her th grade chem section next week i told her that i used your videos to get me through my chemistry for health sciences course in college yeah i started late which was a brutal combination of gen bio and organic chem classes youre getting your next generation thanks for the help,positive
for some future video you should definitely build like this huge base just overnight near some big clan bases and have him be the only guy claiming to have built it by himself with turrets and those missile things on top and have him talk shit to the clans that come by saying how their bases are puny something like hans and franz talk look at your puny base its nothing youre nothing maybe get the clans to try and raid his huge base with lots of turrets and stuff that would be pretty funny but you would need a huge base that is already built and able to paste in easily,neutral,for some future video you should definitely build like this huge base just overnight near some big clan bases and have him be the only guy claiming to have built it by himself with turrets and those missile things on top and have him talk shit to the clans that come by saying how their bases are puny something like hans and franz talk look at your puny base its nothing youre nothing maybe get the clans to try and raid his huge base with lots of turrets and stuff that would be pretty funny but you would need a huge base that is already built and able to paste in easily,positive
i’m chronically ill and very frequently find it difficult to eat watching eating asmr has worked wonders to help with nausea and motivate me to eat thank you for all you do,positive,im chronically ill and very frequently find it difficult to eat watching eating asmr has worked wonders to help with nausea and motivate me to eat thank you for all you do,positive
the pizza planet pizza being awful is just disney sticking to the bit since in universe its basically chuck e cheese,negative,the pizza planet pizza being awful is just disney sticking to the bit since in universe its basically chuck e cheese,neutral
the producers are so good at finding people from a location who are excellent cultural ambassadors for their country city village or tribe sonny has a knack for crosscultural communication but the individuals and families that host him at their tables are remarkable people,positive,the producers are so good at finding people from a location who are excellent cultural ambassadors for their country city village or tribe sonny has a knack for crosscultural communication but the individuals and families that host him at their tables are remarkable people,negative
내 맘도 털렸는데 편의점도 털었네요 편의점 음식이 정말 다양하네요 쯔양님이 하나 하나 소개를 해주니 좋다 쯔양님은 어쩜 이리 귀여울까 말하는것도 먹는것도 다 귀엽네요 귀요미의 끝판왕인가 ㅋㅋ 진구 먼지 소식좀 부탁 재미있게 잘 봤습니다 사랑해요 ,neutral,                                  ,neutral
a hidden face thats should be a secret right,neutral,a hidden face thats should be a secret right,neutral
i want more episodes with calvin and sonny i can see the best food bromance forming already and the humourvibe they created was really entertaining loved it,positive,i want more episodes with calvin and sonny i can see the best food bromance forming already and the humourvibe they created was really entertaining loved it,positive
this is peak ltt i can imagine how proud the team is putting this together,positive,this is peak ltt i can imagine how proud the team is putting this together,positive
